avg_quiz_score,attempts_per_topic,days_since_last_revision,quiz_score_variance,time_spent_per_question,mastered
0.14,6,13,0.15,13.3,0
0.34,7,25,0.15,34.7,0
0.68,4,8,0.05,45.2,1
0.58,5,23,0.07,31.2,0
0.03,2,17,0.18,51.4,0
0.52,8,13,0.0,44.7,0
0.38,5,21,0.05,57.7,0
0.63,5,6,0.05,31.3,0
0.89,7,9,0.03,27.1,1
0.57,7,16,0.05,10.0,0
0.6,4,28,0.1,41.8,0
0.71,4,20,0.04,62.4,0
0.36,9,14,0.18,63.5,0
0.6,7,16,0.03,24.2,0
0.37,4,19,0.18,28.9,0
0.74,3,0,0.03,10.0,1
0.41,7,19,0.13,53.0,0
0.51,9,7,0.16,49.2,0
0.59,6,17,0.12,10.0,0
0.82,3,0,0.06,34.0,1
0.3,4,19,0.12,23.7,0
0.72,6,23,0.03,43.5,0
0.26,2,13,0.21,31.5,0
0.44,7,24,0.08,60.2,0
0.98,3,20,0.09,44.8,1
0.6,8,26,0.07,68.8,0
0.21,4,17,0.21,56.1,0
0.27,3,5,0.08,58.2,0
0.41,7,4,0.09,66.0,0
0.38,4,21,0.18,35.2,0
0.54,4,4,0.14,68.3,0
0.49,6,15,0.08,43.7,0
0.45,4,23,0.14,48.7,0
0.37,1,12,0.19,64.3,0
0.31,9,15,0.06,61.7,0
0.55,8,9,0.13,47.3,0
0.44,6,7,0.13,43.1,0
0.15,4,15,0.13,68.9,0
0.7,7,8,0.09,37.9,1
0.55,5,21,0.03,43.5,0
0.23,4,7,0.14,33.9,0
0.61,9,23,0.14,48.8,0
0.24,4,27,0.1,67.0,0
0.79,8,24,0.14,71.1,0
0.28,1,28,0.24,52.4,0
0.44,9,1,0.13,69.1,0
0.37,9,12,0.08,60.9,0
0.74,7,5,0.07,30.2,1
0.46,8,11,0.11,54.3,0
0.1,8,6,0.21,29.0,0
0.92,3,2,0.12,41.9,1
0.66,2,2,0.14,30.2,0
0.8,9,10,0.02,52.2,1
0.55,7,6,0.09,40.2,0
0.21,8,22,0.14,59.9,0
0.8,5,24,0.01,70.9,0
0.4,7,2,0.25,42.1,0
0.61,6,27,0.05,23.8,0
0.58,8,28,0.08,35.8,0
0.68,6,14,0.13,61.5,0
0.89,3,13,0.03,22.6,1
0.51,8,15,0.14,16.1,0
0.64,5,2,0.05,59.2,0
0.61,7,4,0.12,55.8,0
0.44,8,7,0.16,65.0,0
0.63,8,8,0.09,48.2,0
0.55,6,19,0.14,50.1,0
0.49,4,19,0.07,31.8,0
0.92,3,7,0.0,26.7,1
0.88,5,9,0.01,28.5,1
0.39,9,18,0.13,25.6,0
0.38,5,26,0.09,59.9,0
0.38,1,4,0.09,61.0,0
0.34,2,23,0.14,61.8,0
0.37,5,22,0.07,72.3,0
0.39,5,16,0.12,19.8,0
0.24,9,29,0.09,58.8,0
0.58,5,0,0.0,36.4,0
0.64,7,13,0.11,48.1,0
0.79,1,24,0.01,25.5,0
0.78,9,21,0.09,56.8,0
0.48,5,28,0.15,42.1,0
0.27,3,17,0.09,50.0,0
0.53,7,26,0.06,51.1,0
0.79,3,18,0.0,31.8,0
0.82,3,10,0.09,32.2,1
0.24,7,17,0.13,51.2,0
0.5,8,5,0.17,51.5,0
0.58,5,25,0.04,52.3,0
0.66,2,12,0.07,30.3,0
0.41,9,29,0.02,33.5,0
0.47,9,17,0.06,52.3,0
0.68,6,7,0.15,26.4,0
0.43,9,15,0.06,53.1,0
0.64,7,6,0.06,43.5,0
0.51,4,12,0.11,41.9,0
0.55,7,17,0.12,54.2,0
0.41,5,1,0.16,68.2,0
1.0,3,2,0.0,39.3,1
0.36,2,6,0.2,51.0,0
0.63,7,14,0.13,26.7,0
0.44,5,23,0.09,25.0,0
0.55,8,1,0.11,53.4,0
0.42,9,28,0.13,46.5,0
0.38,7,8,0.18,62.0,0
0.22,5,9,0.02,28.6,0
0.77,1,11,0.0,44.3,1
0.37,9,18,0.08,20.5,0
0.85,3,22,0.0,15.8,1
0.15,4,25,0.16,51.3,0
0.69,6,27,0.0,36.1,0
0.47,9,7,0.06,37.7,0
0.64,6,26,0.08,31.7,0
0.76,9,14,0.02,66.2,1
0.63,4,15,0.09,53.3,0
0.5,6,22,0.11,20.1,0
0.39,6,0,0.1,35.6,0
0.37,7,6,0.17,34.3,0
0.7,8,21,0.13,43.4,0
0.43,8,6,0.16,33.4,0
0.57,6,4,0.1,67.1,0
0.94,1,24,0.1,50.0,1
0.51,5,4,0.13,45.4,0
0.15,3,14,0.24,51.0,0
0.43,7,23,0.13,48.9,0
0.22,7,3,0.06,40.8,0
0.29,4,18,0.11,46.2,0
0.49,4,18,0.21,39.0,0
0.6,8,8,0.23,72.2,0
0.64,7,26,0.2,51.2,0
0.41,8,18,0.03,74.2,0
0.69,6,28,0.0,35.0,0
0.61,6,10,0.1,39.6,0
0.61,5,0,0.11,17.0,0
0.49,7,24,0.09,28.4,0
0.87,2,18,0.02,48.5,1
0.39,5,18,0.11,28.5,0
0.22,9,0,0.17,60.2,0
0.53,5,8,0.0,29.7,0
0.51,9,1,0.14,50.2,0
0.43,6,28,0.18,49.9,0
0.69,9,24,0.1,56.7,0
0.39,6,19,0.14,32.0,0
0.54,7,14,0.07,32.0,0
0.66,6,18,0.14,62.3,0
0.23,4,29,0.22,34.1,0
0.34,9,14,0.05,53.9,0
0.44,5,20,0.07,62.3,0
0.98,3,25,0.05,37.0,1
0.64,4,11,0.1,24.0,0
0.4,7,7,0.1,69.7,0
0.67,4,3,0.1,34.1,0
0.8,2,10,0.07,29.9,1
0.85,2,6,0.07,27.4,1
0.34,4,29,0.13,64.7,0
0.45,4,8,0.08,47.5,0
0.48,7,26,0.06,43.9,0
0.43,6,17,0.19,70.5,0
0.32,6,14,0.13,30.4,0
0.5,9,23,0.0,42.5,0
0.81,7,23,0.04,21.4,0
0.39,7,26,0.14,48.1,0
0.2,8,25,0.22,60.6,0
0.52,7,4,0.1,58.9,0
0.33,9,3,0.15,49.4,0
0.3,7,2,0.01,69.5,0
0.56,8,28,0.13,21.2,0
0.64,5,14,0.13,34.6,0
0.45,8,15,0.18,48.5,0
0.36,7,27,0.15,44.9,0
0.69,4,11,0.16,39.3,0
0.1,3,27,0.18,60.4,0
0.81,1,17,0.04,27.0,0
0.53,7,0,0.17,25.0,0
0.68,7,24,0.0,44.7,0
0.68,8,15,0.16,17.4,0
0.5,9,2,0.05,44.8,0
0.83,2,16,0.0,47.4,0
0.64,7,5,0.05,44.4,0
0.62,5,10,0.0,43.0,0
0.27,1,12,0.21,68.3,0
0.8,8,18,0.08,44.8,0
0.21,1,22,0.2,82.6,0
0.63,5,23,0.05,37.9,0
0.58,6,23,0.09,53.0,0
0.22,1,15,0.18,57.0,0
0.59,7,10,0.11,67.7,0
0.13,7,9,0.18,85.7,0
0.5,5,1,0.04,15.2,0
0.71,2,27,0.01,28.8,0
0.65,8,7,0.09,40.0,0
0.3,7,19,0.19,57.2,0
0.51,4,1,0.11,43.6,0
0.55,5,26,0.14,53.8,0
0.48,7,2,0.09,45.1,0
0.59,6,8,0.07,52.2,0
0.53,7,0,0.12,36.2,0
0.55,6,8,0.16,43.5,0
0.37,7,17,0.12,34.4,0
0.38,2,4,0.13,31.7,0
0.46,9,18,0.03,27.7,0
0.43,6,15,0.17,59.9,0
0.4,8,13,0.06,34.5,0
0.63,3,29,0.06,57.9,0
0.43,9,15,0.24,24.4,0
0.35,6,29,0.11,40.5,0
0.39,9,9,0.12,32.0,0
0.4,5,4,0.22,43.8,0
0.31,4,24,0.21,32.2,0
0.6,9,28,0.07,73.4,0
0.48,4,15,0.17,52.4,0
0.42,8,11,0.13,53.7,0
0.83,7,9,0.04,46.4,1
0.71,8,11,0.15,39.9,0
0.07,2,17,0.18,70.0,0
0.44,4,3,0.17,47.7,0
0.27,5,22,0.1,54.6,0
0.34,5,12,0.1,56.4,0
0.26,3,19,0.2,64.2,0
0.79,3,27,0.09,63.8,0
0.48,7,15,0.06,24.8,0
0.68,8,3,0.05,44.9,1
0.1,9,0,0.11,53.3,0
0.58,7,2,0.1,60.2,0
0.74,2,1,0.04,33.4,1
0.0,2,4,0.2,69.8,0
0.5,8,15,0.11,39.6,0
0.33,6,12,0.05,34.5,0
0.78,6,29,0.12,49.7,0
0.37,4,28,0.18,68.3,0
0.1,2,0,0.07,59.8,0
0.48,4,21,0.1,47.1,0
0.34,6,21,0.11,57.6,0
0.62,5,13,0.08,24.9,0
0.19,5,12,0.12,45.4,0
0.47,7,15,0.1,35.1,0
0.25,7,4,0.07,42.0,0
0.38,8,23,0.12,42.3,0
0.66,6,20,0.18,21.9,0
0.52,8,20,0.13,41.2,0
0.61,4,9,0.01,25.9,0
0.35,6,26,0.12,76.2,0
0.6,5,3,0.14,30.4,0
0.49,5,0,0.1,26.2,0
0.22,7,14,0.11,53.4,0
0.22,8,11,0.14,58.5,0
0.27,5,20,0.13,60.1,0
0.75,9,7,0.06,43.5,1
0.39,6,4,0.16,40.6,0
0.52,9,9,0.06,26.4,0
0.61,7,2,0.09,34.4,0
0.45,6,5,0.15,50.7,0
0.19,5,18,0.07,44.5,0
0.27,8,12,0.21,46.2,0
0.3,4,12,0.13,43.9,0
0.61,4,3,0.03,33.3,0
0.46,5,24,0.07,37.3,0
0.57,7,28,0.11,74.7,0
0.52,7,24,0.16,49.1,0
0.42,9,9,0.09,53.1,0
0.57,6,11,0.11,41.0,0
0.4,9,8,0.0,52.7,0
0.64,8,17,0.05,36.3,0
0.13,6,16,0.14,46.2,0
0.63,6,19,0.09,52.3,0
0.76,8,27,0.11,49.4,0
0.83,7,5,0.07,51.9,1
0.47,9,21,0.15,39.1,0
0.39,8,28,0.17,51.9,0
0.38,4,29,0.11,62.3,0
0.65,7,1,0.07,26.3,0
0.0,4,9,0.08,46.7,0
0.65,4,23,0.1,50.7,0
0.72,3,14,0.11,42.6,1
0.67,8,18,0.0,63.0,0
0.82,3,29,0.03,51.9,0
0.54,9,22,0.07,23.7,0
0.33,9,15,0.19,56.3,0
0.65,5,21,0.1,40.2,0
0.69,4,21,0.0,48.3,0
0.66,2,16,0.06,23.1,0
0.43,6,6,0.04,38.1,0
0.12,8,18,0.16,86.0,0
0.67,8,19,0.06,48.6,0
0.46,9,1,0.08,56.6,0
0.46,3,5,0.22,45.8,0
0.22,4,19,0.17,44.9,0
0.4,4,7,0.17,85.0,0
0.21,4,14,0.05,43.2,0
0.44,7,14,0.12,49.2,0
0.42,7,24,0.13,29.4,0
0.48,2,4,0.13,58.5,0
0.91,1,5,0.03,37.0,1
0.19,2,24,0.13,56.4,0
0.61,4,7,0.0,40.5,0
0.53,9,14,0.08,60.4,0
0.27,7,6,0.16,80.6,0
0.47,4,18,0.14,59.6,0
0.68,7,6,0.09,56.0,0
0.0,5,19,0.23,50.1,0
0.39,4,0,0.17,43.1,0
0.88,3,11,0.03,41.4,1
0.16,7,24,0.2,54.4,0
0.29,5,20,0.17,33.9,0
0.22,1,0,0.2,38.4,0
0.46,6,19,0.14,44.1,0
0.58,5,22,0.08,44.0,0
0.45,6,1,0.05,64.0,0
0.58,6,5,0.09,32.0,0
0.83,4,1,0.16,44.8,1
0.33,4,17,0.15,60.0,0
0.37,7,5,0.17,38.9,0
0.31,7,23,0.13,57.8,0
0.57,4,7,0.1,32.2,0
0.22,3,5,0.12,58.4,0
0.78,3,28,0.05,17.3,0
0.58,6,29,0.07,69.0,0
0.26,4,11,0.18,44.9,0
0.64,6,21,0.04,27.0,0
0.37,8,23,0.07,36.6,0
0.75,9,20,0.15,71.4,0
0.63,5,26,0.05,21.7,0
0.47,5,15,0.0,28.4,0
0.74,9,23,0.15,30.0,0
0.54,9,12,0.08,35.0,0
0.29,4,1,0.12,69.3,0
0.77,2,26,0.03,14.6,0
0.48,6,23,0.08,51.0,0
0.17,2,1,0.16,47.4,0
0.46,8,15,0.0,61.7,0
0.61,4,11,0.22,55.5,0
0.48,6,14,0.15,58.6,0
0.51,7,19,0.19,53.6,0
0.33,4,13,0.08,34.0,0
0.74,2,17,0.04,35.3,0
0.42,9,13,0.19,75.2,0
0.55,7,0,0.14,39.5,0
0.71,8,6,0.1,45.8,1
0.77,2,1,0.15,35.7,1
0.79,1,1,0.09,34.4,1
0.64,6,10,0.07,47.8,0
0.51,5,6,0.04,36.4,0
0.74,9,13,0.08,26.0,1
0.45,7,26,0.12,43.2,0
0.35,5,4,0.11,42.9,0
0.47,8,9,0.21,24.6,0
0.21,9,15,0.1,61.9,0
0.59,7,6,0.13,47.2,0
0.43,4,27,0.09,33.7,0
0.55,7,29,0.08,40.4,0
0.56,6,24,0.06,28.6,0
0.35,8,26,0.12,42.6,0
0.4,6,12,0.15,58.3,0
0.72,2,7,0.06,30.9,1
0.61,9,19,0.03,22.4,0
0.48,9,13,0.08,33.5,0
0.61,4,11,0.17,61.5,0
0.28,7,1,0.15,38.9,0
0.71,8,0,0.16,32.9,0
0.34,9,20,0.16,59.3,0
0.7,5,4,0.03,61.2,1
0.33,7,18,0.16,37.8,0
0.33,9,15,0.14,68.1,0
0.48,7,25,0.08,44.7,0
0.75,9,13,0.07,59.0,1
0.84,1,18,0.13,38.6,0
0.46,4,13,0.06,43.8,0
0.54,6,5,0.2,59.6,0
0.63,6,1,0.08,22.3,0
0.51,6,0,0.01,62.1,0
0.8,2,5,0.08,53.9,1
0.47,8,29,0.11,25.8,0
0.69,5,19,0.08,65.2,0
0.62,6,28,0.02,55.4,0
0.41,6,25,0.07,25.0,0
0.76,6,1,0.0,34.5,1
0.44,5,16,0.09,44.8,0
0.35,5,27,0.11,47.1,0
0.21,3,26,0.2,27.2,0
0.47,6,5,0.12,26.3,0
0.59,5,2,0.13,20.6,0
0.53,4,22,0.07,51.5,0
0.26,6,0,0.25,53.7,0
0.24,1,27,0.17,63.8,0
0.69,1,11,0.12,32.4,0
0.51,8,17,0.06,51.6,0
0.58,4,5,0.05,20.0,0
0.46,8,26,0.0,46.6,0
0.41,6,26,0.09,37.2,0
1.0,3,12,0.13,31.2,1
0.61,6,4,0.14,48.3,0
0.56,6,17,0.07,46.1,0
0.71,8,23,0.06,22.0,0
0.34,6,10,0.1,57.2,0
0.67,9,10,0.08,58.9,0
0.81,2,27,0.03,33.0,0
0.78,9,15,0.11,52.0,0
0.23,1,13,0.17,51.8,0
0.62,4,25,0.03,43.9,0
0.48,6,14,0.11,56.2,0
0.34,5,21,0.08,50.3,0
0.54,7,10,0.13,35.2,0
0.23,8,13,0.14,68.6,0
0.6,8,20,0.08,36.7,0
0.36,5,7,0.14,53.5,0
0.39,6,26,0.05,68.9,0
0.48,9,2,0.08,17.5,0
0.66,1,5,0.0,21.9,1
0.4,6,18,0.16,46.1,0
0.25,8,25,0.09,54.8,0
0.67,8,2,0.0,53.1,1
0.6,7,20,0.11,42.5,0
0.57,4,21,0.12,34.1,0
0.69,8,4,0.1,29.5,0
0.67,8,16,0.13,62.7,0
0.22,3,15,0.12,23.9,0
0.72,5,26,0.05,44.2,0
0.65,4,0,0.08,25.1,0
0.53,7,29,0.11,47.5,0
0.54,4,17,0.13,31.4,0
0.42,7,28,0.09,69.9,0
0.52,5,3,0.09,43.4,0
0.24,1,28,0.1,59.8,0
0.74,1,8,0.04,11.4,1
0.63,9,5,0.06,59.0,0
0.38,8,22,0.19,73.2,0
0.43,9,22,0.07,57.0,0
0.52,6,2,0.13,33.1,0
0.72,1,8,0.01,24.5,1
0.58,4,24,0.09,40.1,0
0.43,8,15,0.14,31.0,0
0.51,8,3,0.02,43.5,0
0.48,6,29,0.18,33.1,0
0.47,5,18,0.15,44.1,0
0.38,7,25,0.16,42.7,0
0.46,7,6,0.08,60.5,0
0.33,1,17,0.14,72.5,0
0.8,7,18,0.05,49.8,0
0.71,5,25,0.07,27.4,0
0.25,1,8,0.24,62.8,0
0.62,5,14,0.0,44.4,0
0.61,8,16,0.1,19.1,0
0.47,4,21,0.12,45.2,0
0.58,7,26,0.15,65.8,0
0.35,4,10,0.16,58.1,0
0.47,6,3,0.13,43.6,0
0.55,8,9,0.09,45.1,0
0.32,7,13,0.13,51.2,0
0.81,5,23,0.06,34.7,0
0.35,4,7,0.13,83.5,0
0.69,5,26,0.08,38.5,0
0.56,8,11,0.01,64.7,0
0.17,3,16,0.12,45.3,0
0.36,8,8,0.07,59.7,0
0.28,7,11,0.19,36.5,0
0.2,9,29,0.23,86.5,0
0.27,4,10,0.18,82.7,0
0.53,5,19,0.12,25.1,0
0.95,3,10,0.06,11.3,1
0.5,5,27,0.13,44.0,0
0.67,5,0,0.05,64.1,0
0.83,1,24,0.05,48.5,0
0.61,5,22,0.01,33.9,0
0.85,1,29,0.09,42.6,0
0.51,5,7,0.14,33.8,0
0.35,7,19,0.06,50.6,0
0.34,8,13,0.1,43.3,0
0.57,8,24,0.06,41.2,0
0.85,4,12,0.05,49.5,1
0.5,4,3,0.1,39.8,0
0.54,6,11,0.01,10.1,0
0.18,8,8,0.08,49.4,0
0.49,5,2,0.14,17.1,0
0.56,6,18,0.16,46.6,0
0.6,9,27,0.13,46.8,0
0.44,5,20,0.16,38.1,0
0.58,6,23,0.1,52.7,0
0.51,9,26,0.07,39.5,0
0.71,7,9,0.12,35.0,0
0.39,7,11,0.12,59.7,0
0.51,4,24,0.11,55.2,0
0.32,4,19,0.09,62.7,0
0.52,3,3,0.03,46.3,0
0.39,7,4,0.08,47.3,0
0.39,4,17,0.11,60.0,0
0.51,8,2,0.12,33.1,0
0.53,5,0,0.09,11.4,0
0.45,8,13,0.17,36.1,0
0.42,4,7,0.09,39.4,0
0.9,1,2,0.0,37.7,1
0.5,7,6,0.0,64.9,0
0.7,2,7,0.04,46.3,1
0.58,5,20,0.09,47.4,0
0.29,3,16,0.08,68.2,0
0.64,4,14,0.06,43.4,0
0.48,7,24,0.14,45.2,0
0.23,9,5,0.2,39.9,0
0.47,6,1,0.09,25.7,0
0.72,2,9,0.01,54.4,1
0.57,8,25,0.22,43.4,0
0.46,8,27,0.16,39.9,0
0.25,8,21,0.04,51.9,0
0.93,3,18,0.09,53.3,1
0.83,1,18,0.0,53.3,0
0.42,8,16,0.15,27.5,0
0.24,8,19,0.04,49.1,0
0.39,4,25,0.09,27.9,0
0.54,7,29,0.13,47.2,0
0.42,4,13,0.1,53.3,0
0.26,8,7,0.12,55.6,0
0.68,9,29,0.14,47.7,0
0.42,6,11,0.1,53.6,0
0.36,9,10,0.14,50.3,0
0.5,7,3,0.03,34.1,0
0.61,4,20,0.02,16.8,0
0.16,7,15,0.14,44.3,0
0.33,6,3,0.1,53.4,0
0.47,8,17,0.14,44.6,0
0.69,9,29,0.1,66.0,0
0.69,7,1,0.04,44.4,1
0.48,6,26,0.06,45.6,0
0.73,7,9,0.04,10.0,1
0.09,4,27,0.17,48.2,0
0.4,4,14,0.13,23.4,0
0.92,4,0,0.11,46.0,1
0.48,4,22,0.19,60.3,0
0.77,2,17,0.09,44.7,0
0.72,4,22,0.19,38.6,0
0.49,7,5,0.08,31.4,0
0.37,7,22,0.11,51.2,0
0.33,7,19,0.17,40.8,0
0.5,6,21,0.06,64.1,0
0.21,2,17,0.19,33.8,0
0.36,5,1,0.05,38.9,0
0.48,6,1,0.18,51.9,0
0.42,7,29,0.22,79.8,0
0.35,9,12,0.12,51.3,0
0.48,6,17,0.03,22.1,0
0.17,2,12,0.26,39.2,0
0.42,4,29,0.14,38.0,0
0.24,3,27,0.25,72.1,0
0.62,7,20,0.07,65.3,0
0.7,6,26,0.11,64.5,0
0.57,7,16,0.07,54.3,0
0.57,8,26,0.08,39.0,0
0.48,9,7,0.09,43.1,0
0.27,3,25,0.23,34.1,0
0.34,1,5,0.14,60.8,0
0.21,4,23,0.17,46.1,0
0.72,8,11,0.1,43.7,1
0.28,4,0,0.09,42.7,0
0.22,6,24,0.08,55.5,0
0.37,5,13,0.09,36.3,0
0.66,7,0,0.05,45.4,0
0.4,5,2,0.05,40.2,0
0.66,4,20,0.08,36.3,0
0.73,5,13,0.13,28.8,1
0.42,9,13,0.05,24.9,0
0.74,7,8,0.11,49.0,1
0.42,5,17,0.15,50.4,0
0.79,7,13,0.05,27.6,1
0.14,4,3,0.11,54.1,0
0.46,5,1,0.16,48.5,0
0.77,8,23,0.09,49.0,0
0.41,9,13,0.12,43.7,0
0.6,8,7,0.14,54.6,0
0.25,8,23,0.16,70.8,0
0.57,9,21,0.0,52.7,0
0.59,9,14,0.01,48.0,0
0.55,9,0,0.13,45.2,0
0.54,4,4,0.05,41.9,0
0.37,8,3,0.16,33.9,0
0.0,3,11,0.1,42.0,0
0.31,7,13,0.04,19.7,0
0.52,6,15,0.07,24.3,0
0.49,6,2,0.14,90.2,0
0.2,9,21,0.11,25.9,0
0.43,6,0,0.15,74.0,0
0.59,7,17,0.19,52.2,0
0.7,2,22,0.06,34.8,0
0.87,1,24,0.11,54.2,0
0.51,4,27,0.08,18.4,0
0.56,8,1,0.02,38.1,0
0.7,1,27,0.12,26.1,0
0.44,9,5,0.09,50.4,0
0.65,1,7,0.09,21.4,0
0.54,7,14,0.08,28.1,0
0.55,8,5,0.14,40.6,0
0.46,5,14,0.1,63.9,0
0.44,6,8,0.1,44.9,0
0.37,7,8,0.1,37.8,0
0.57,5,19,0.11,48.4,0
0.66,2,6,0.0,35.9,1
0.32,7,7,0.13,67.9,0
0.7,5,28,0.09,26.3,0
0.51,8,14,0.18,37.4,0
0.04,4,27,0.16,47.9,0
0.42,7,29,0.11,56.9,0
0.43,4,19,0.07,32.8,0
0.77,1,2,0.0,28.6,1
0.63,4,8,0.19,50.3,0
0.74,4,19,0.0,26.9,0
0.39,9,1,0.04,67.3,0
0.32,7,24,0.11,47.2,0
0.7,2,19,0.04,10.6,0
0.72,6,12,0.04,37.2,1
0.78,8,29,0.14,53.6,0
0.17,8,21,0.14,37.3,0
0.58,7,14,0.06,31.8,0
0.51,5,16,0.07,52.3,0
0.61,7,13,0.13,44.4,0
0.52,7,26,0.07,45.6,0
0.78,2,23,0.0,36.7,0
0.39,5,26,0.08,53.4,0
0.5,9,4,0.04,40.7,0
0.35,6,22,0.12,18.0,0
0.43,7,18,0.1,35.5,0
0.54,6,13,0.06,51.4,0
0.61,6,12,0.2,57.5,0
0.49,7,13,0.0,47.0,0
0.66,9,16,0.02,57.9,0
0.56,4,28,0.03,48.5,0
0.47,8,15,0.08,44.2,0
0.27,1,15,0.14,66.4,0
0.14,2,17,0.05,34.3,0
0.26,5,25,0.19,47.2,0
0.24,4,29,0.12,54.7,0
0.31,3,4,0.11,37.1,0
0.76,5,28,0.07,53.2,0
0.75,5,1,0.09,55.3,1
0.56,1,26,0.0,34.9,0
0.78,4,8,0.08,42.6,1
0.12,2,16,0.26,21.8,0
0.49,9,20,0.14,54.5,0
0.43,8,3,0.15,55.5,0
0.26,5,21,0.08,37.8,0
0.46,5,12,0.15,26.0,0
0.39,8,25,0.19,46.1,0
0.6,9,14,0.14,22.7,0
0.3,5,12,0.1,29.0,0
0.68,2,15,0.0,40.3,0
0.52,6,17,0.11,40.5,0
0.81,5,26,0.07,26.6,0
0.21,4,26,0.15,60.5,0
0.57,5,6,0.11,44.3,0
0.69,7,24,0.09,41.3,0
0.52,9,25,0.13,40.5,0
0.64,6,27,0.1,35.5,0
0.43,7,24,0.12,38.4,0
0.54,4,19,0.06,46.4,0
0.51,7,2,0.08,28.0,0
0.32,9,17,0.08,56.4,0
0.62,6,16,0.08,32.4,0
0.31,2,15,0.07,45.5,0
0.49,8,3,0.1,17.3,0
0.32,4,10,0.25,72.8,0
0.75,6,29,0.07,25.7,0
0.3,5,23,0.14,41.8,0
0.28,6,21,0.14,40.6,0
0.39,8,6,0.13,36.2,0
0.57,9,13,0.03,46.2,0
0.31,8,23,0.1,69.1,0
0.16,4,5,0.28,38.3,0
0.51,5,8,0.06,26.0,0
0.64,6,26,0.01,46.9,0
0.22,9,23,0.1,43.0,0
0.67,5,1,0.09,35.6,0
0.57,9,17,0.05,51.7,0
0.53,5,0,0.15,19.1,0
0.47,8,11,0.05,29.3,0
0.39,7,12,0.08,37.0,0
0.71,3,4,0.07,21.5,1
0.59,9,29,0.12,43.4,0
0.45,6,8,0.0,44.6,0
0.37,8,15,0.04,69.8,0
0.58,1,13,0.18,24.4,0
0.55,6,6,0.09,39.6,0
0.66,8,19,0.02,41.7,0
0.64,6,9,0.1,48.6,0
0.54,6,12,0.14,24.6,0
0.39,1,7,0.16,47.5,0
0.4,9,8,0.11,40.5,0
0.33,3,15,0.16,60.3,0
0.38,6,28,0.21,39.2,0
0.42,5,21,0.09,55.1,0
0.69,9,20,0.08,38.6,0
0.71,5,18,0.09,43.0,0
0.71,2,4,0.04,48.0,1
0.57,6,29,0.08,35.4,0
0.63,4,0,0.09,18.5,0
0.51,5,1,0.05,51.1,0
0.46,9,23,0.09,46.5,0
0.58,6,20,0.2,59.3,0
0.39,5,21,0.1,48.6,0
0.17,4,12,0.17,47.4,0
0.63,5,10,0.1,32.5,0
0.54,6,9,0.27,39.2,0
0.81,7,1,0.06,46.1,1
0.61,7,12,0.16,24.7,0
0.51,5,27,0.13,44.0,0
0.34,6,21,0.1,64.9,0
0.14,4,7,0.18,35.0,0
0.45,8,23,0.13,57.9,0
0.41,4,13,0.19,57.0,0
0.61,7,2,0.0,50.9,0
0.22,9,21,0.09,47.9,0
0.5,6,22,0.16,24.6,0
0.15,4,29,0.23,52.6,0
0.45,6,25,0.05,64.3,0
0.78,6,8,0.05,38.1,1
0.46,5,16,0.11,39.3,0
0.52,4,24,0.05,37.5,0
0.49,5,2,0.19,16.7,0
0.66,7,12,0.11,30.4,0
0.46,5,26,0.05,23.4,0
0.32,8,26,0.02,39.2,0
0.6,6,21,0.18,65.3,0
0.33,8,11,0.06,23.9,0
0.29,5,9,0.16,35.7,0
0.35,7,24,0.17,56.4,0
0.58,6,21,0.01,46.6,0
0.83,6,3,0.11,52.4,1
0.52,4,0,0.04,36.2,0
0.68,6,17,0.05,45.4,0
0.25,4,11,0.16,64.3,0
0.41,5,3,0.12,53.0,0
0.62,5,14,0.07,39.5,0
0.59,7,9,0.15,44.9,0
0.73,3,10,0.08,47.6,1
0.8,2,2,0.05,73.7,1
0.33,6,29,0.21,51.8,0
0.31,6,14,0.03,46.0,0
0.52,9,18,0.05,23.7,0
0.42,7,29,0.05,48.7,0
0.74,5,11,0.17,29.2,1
0.55,8,12,0.08,42.3,0
0.75,1,12,0.03,39.8,1
0.2,3,17,0.13,54.6,0
0.66,9,2,0.05,14.5,0
0.44,7,8,0.06,47.7,0
0.49,5,10,0.08,53.9,0
0.39,5,19,0.1,50.1,0
0.6,8,7,0.11,48.5,0
0.75,3,20,0.05,45.4,0
0.6,6,5,0.07,58.1,0
0.18,8,11,0.05,35.7,0
0.84,1,20,0.01,62.6,0
0.49,5,29,0.13,50.2,0
0.09,4,18,0.19,45.6,0
0.59,8,29,0.0,34.3,0
0.74,2,29,0.13,46.6,0
0.38,7,14,0.1,24.2,0
0.71,1,6,0.05,35.2,1
0.72,5,7,0.08,20.9,1
0.99,2,23,0.01,35.8,1
0.52,9,15,0.11,53.2,0
0.59,7,2,0.13,40.4,0
0.32,4,8,0.1,47.1,0
0.59,9,22,0.1,19.4,0
0.82,2,4,0.02,49.5,1
0.92,3,11,0.01,33.1,1
0.68,7,9,0.07,48.4,0
0.15,3,27,0.14,56.7,0
0.61,7,10,0.08,33.4,0
0.49,6,23,0.09,48.3,0
0.55,9,17,0.05,48.5,0
0.23,4,0,0.14,61.7,0
0.4,8,1,0.03,53.1,0
0.63,8,25,0.08,28.8,0
1.0,2,13,0.06,58.6,1
0.83,2,20,0.08,38.7,0
0.5,4,11,0.11,63.0,0
0.32,5,21,0.14,64.5,0
0.5,7,13,0.0,68.9,0
0.55,4,0,0.02,48.8,0
